# Reynolds:  0.30763E+05
# Mach:  0.16590E+00
#  r/R          c/R          V (m/s)      AoA (deg)    beta (deg)   phi (deg)    Cl           Cd           s factor     Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c    Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c
#  0.42474E+00  0.18029E+00  0.87771E+01  0.80394E+01  0.24086E+02  0.15309E+02  0.11786E+01  0.54374E-01  0.11507E+00  0.87275E+01  0.10135E+04  0.95801E-02  0.23414E-02  0.90255E-03  0.11676E+00  0.59710E+00 -0.76849E+01 -0.58542E+03 -0.84228E-03  0.88464E-03  0.15273E-03  0.63972E-01  0.10000E+01
#  x/c                -Cp                    delta*/c              theta/c               Cf                    BC
 0.99206706157050E+00 -0.85290187072615E-01  0.83716426386136E-02  0.21475186471797E-02  0.40509965426071E-03 -1
 0.97620309436915E+00 -0.87304355131948E-01  0.99588270253172E-02  0.25605592332478E-02  0.39723439675161E-03 -1
 0.96034511791188E+00 -0.89213502567084E-01  0.11919861814842E-01  0.30741266874118E-02  0.38443760669827E-03 -1
 0.94449712435965E+00 -0.90013367318924E-01  0.13334189037540E-01  0.34527037681294E-02  0.37835608729978E-03 -1
 0.92866310336034E+00 -0.91471173712128E-01  0.13098674592105E-01  0.34058642846881E-02  0.40066328766425E-03 -1
 0.91284704104426E+00 -0.95654041640315E-01  0.12559048053038E-01  0.32800557368467E-02  0.43362508848418E-03 -1
 0.89705291902074E+00 -0.10488962265460E+00  0.10070643766916E-01  0.31234561889513E-02  0.13222172754615E-02  1
 0.88128471337577E+00 -0.11800025120624E+00  0.89140493148077E-02  0.30162153214078E-02  0.19525227897256E-02  1
 0.86554639367101E+00 -0.13131034247517E+00  0.83298227087371E-02  0.29376627109290E-02  0.23056778417064E-02  1
 0.84984192194451E+00 -0.14208418724100E+00  0.79634886534937E-02  0.28764612676596E-02  0.25265801807977E-02  1
 0.83417525171325E+00 -0.14990459915298E+00  0.77131463295360E-02  0.28269797333101E-02  0.26729070090239E-02  1
 0.81855032697790E+00 -0.15612712103165E+00  0.75499183199438E-02  0.27869764527947E-02  0.27509724000162E-02  1
 0.80297108122994E+00 -0.16154790897289E+00  0.74581313298564E-02  0.27544124583174E-02  0.27637195298170E-02  1
 0.78744143646137E+00 -0.16641695609720E+00  0.74188280938108E-02  0.27261640602871E-02  0.27124842564311E-02  1
 0.77196530217744E+00 -0.17041714248263E+00  0.73938886775862E-02  0.26983781201839E-02  0.26490893196672E-02  1
 0.75654657441241E+00 -0.17343367166133E+00  0.73552303231889E-02  0.26681145187785E-02  0.26019109737016E-02  1
 0.74118913474876E+00 -0.17532741011672E+00  0.72848137175294E-02  0.26337823934327E-02  0.25896163435329E-02  1
 0.72589684934000E+00 -0.17630119960258E+00  0.71757633342281E-02  0.25950095273667E-02  0.26205942792555E-02  1
 0.71067356793742E+00 -0.17635033184014E+00  0.70256260998867E-02  0.25517796533373E-02  0.27016723738237E-02  1
 0.69552312292093E+00 -0.17565463401938E+00  0.68376753733984E-02  0.25045117946258E-02  0.28358566997763E-02  1
 0.68044932833424E+00 -0.17440658009694E+00  0.66266442508028E-02  0.24547319670813E-02  0.30137107733630E-02  1
 0.66545597892474E+00 -0.17309800432860E+00  0.64162905168765E-02  0.24050506069556E-02  0.32096247079843E-02  1
 0.65054684918818E+00 -0.17213772733120E+00  0.62265258741293E-02  0.23578710559121E-02  0.33947711421559E-02  1
 0.63572569241844E+00 -0.17161391046172E+00  0.60627674252005E-02  0.23139900534488E-02  0.35554396315461E-02  1
 0.62099623976269E+00 -0.17150466975627E+00  0.59216081642979E-02  0.22730704227293E-02  0.36908518948877E-02  1
 0.60636219928208E+00 -0.17166184044677E+00  0.57970984517876E-02  0.22343697986763E-02  0.38062479116999E-02  1
 0.59182725501823E+00 -0.17203088328714E+00  0.56846063361743E-02  0.21972632542480E-02  0.39064174457503E-02  1
 0.57739506606585E+00 -0.17253943990427E+00  0.55809992332897E-02  0.21612975244996E-02  0.39947243940026E-02  1
 0.56306926565152E+00 -0.17311519206461E+00  0.54821995064789E-02  0.21258994718726E-02  0.40774574158592E-02  1
 0.54885346021908E+00 -0.17363266828264E+00  0.53827106158991E-02  0.20903407277539E-02  0.41652308429219E-02  1
 0.53475122852174E+00 -0.17399104400807E+00  0.52775539620983E-02  0.20540078440749E-02  0.42695811362819E-02  1
 0.52076612072110E+00 -0.17422396966101E+00  0.51659485502691E-02  0.20168680979453E-02  0.43944751651049E-02  1
 0.50690165749346E+00 -0.17445944427030E+00  0.50514940039076E-02  0.19794619454836E-02  0.45341098426774E-02  1
 0.49316132914349E+00 -0.17486687749470E+00  0.49398598289388E-02  0.19425793803892E-02  0.46758631581665E-02  1
 0.47954859472556E+00 -0.17557816297207E+00  0.48354630117422E-02  0.19068015649042E-02  0.48074777803562E-02  1
