# Reynolds:  0.36718E+05
# Mach:  0.20334E+00
#  r/R          c/R          V (m/s)      AoA (deg)    beta (deg)   phi (deg)    Cl           Cd           s factor     Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c    Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c
#  0.51897E+00  0.17556E+00  0.10758E+02  0.69384E+01  0.20058E+02  0.12687E+02  0.10405E+01  0.45567E-01  0.10928E+00  0.10638E+02  0.17653E+04  0.49220E-02  0.23051E-02  0.72144E-03  0.79201E-01  0.54198E+00 -0.96826E+01 -0.60033E+03  0.16600E-03  0.45487E-03  0.12054E-03  0.14735E+00  0.10000E+01
#  x/c                -Cp                    delta*/c              theta/c               Cf                    BC
 0.99206706157050E+00  0.39047374819693E-01  0.46527684966279E-02  0.19465495741382E-02  0.73822182244463E-02 -1
 0.97620309436915E+00 -0.31378825864301E-01  0.53722496923597E-02  0.22590036991412E-02  0.61236957357385E-02 -1
 0.96034511791188E+00 -0.99201219690102E-01  0.61069384306443E-02  0.25786996448499E-02  0.51724942218870E-02 -1
 0.94449712435965E+00 -0.12425041129084E+00  0.69029883555097E-02  0.27758081204435E-02  0.39124739280245E-02 -1
 0.92866310336034E+00 -0.13265388295123E+00  0.72075896341876E-02  0.28137898646262E-02  0.33999361353651E-02 -1
 0.91284704104426E+00 -0.13624404641819E+00  0.71214749308322E-02  0.27996116546957E-02  0.33281505129888E-02  1
 0.89705291902074E+00 -0.13910798267534E+00  0.70177825361176E-02  0.27778862516781E-02  0.33432714962382E-02  1
 0.88128471337577E+00 -0.14226468362409E+00  0.69726890480821E-02  0.27588340882674E-02  0.33258282553251E-02  1
 0.86554639367101E+00 -0.14549015925017E+00  0.69612311633451E-02  0.27426471592841E-02  0.32763492459127E-02  1
 0.84984192194451E+00 -0.14851109330105E+00  0.69641646280827E-02  0.27271859781670E-02  0.32121873995860E-02  1
 0.83417525171325E+00 -0.15115804037846E+00  0.69692020265004E-02  0.27109179835246E-02  0.31461844666395E-02  1
 0.81855032697790E+00 -0.15336489727836E+00  0.69681003486484E-02  0.26928599578803E-02  0.30871665220656E-02  1
 0.80297108122994E+00 -0.15504183612734E+00  0.69555489050585E-02  0.26724699303614E-02  0.30409733912841E-02  1
 0.78744143646137E+00 -0.15630198207334E+00  0.69318996409950E-02  0.26499359457379E-02  0.30067795948581E-02  1
 0.77196530217744E+00 -0.15721502211978E+00  0.69004828384293E-02  0.26257756432424E-02  0.29805464894805E-02  1
 0.75654657441241E+00 -0.15786532854109E+00  0.68615866400933E-02  0.26000979558401E-02  0.29618350947529E-02  1
 0.74118913474876E+00 -0.15811447196459E+00  0.68083985702155E-02  0.25721848271692E-02  0.29593183474897E-02  1
 0.72589684934000E+00 -0.15783679245906E+00  0.67309787800918E-02  0.25410240765604E-02  0.29863506533833E-02  1
