# Reynolds:  0.43027E+05
# Mach:  0.27187E+00
#  r/R          c/R          V (m/s)      AoA (deg)    beta (deg)   phi (deg)    Cl           Cd           s factor     Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c    Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c
#  0.69173E+00  0.15387E+00  0.14384E+02  0.54519E+01  0.15449E+02  0.97883E+01  0.93595E+00  0.36667E-01  0.98538E-01  0.14722E+02  0.52510E+04  0.33656E-02  0.14867E-02  0.48127E-03  0.27363E+00  0.63090E+00 -0.13020E+02 -0.12090E+04  0.68677E-03 -0.26508E-03 -0.34476E-04  0.34023E+00  0.10000E+01
#  x/c                -Cp                    delta*/c              theta/c               Cf                    BC
 0.99206706157050E+00 -0.10618842018697E+00  0.12217892963831E-01  0.31087980330746E-02  0.19781649379260E-03 -1
 0.97620309436915E+00 -0.10879882452228E+00  0.12874587741531E-01  0.32867667591905E-02  0.20292469125227E-03 -1
 0.96034511791188E+00 -0.11140527936226E+00  0.13575648039428E-01  0.34790315004955E-02  0.20711546359535E-03 -1
 0.94449712435965E+00 -0.11541565811069E+00  0.13784452600333E-01  0.35468389962928E-02  0.21340501215763E-03 -1
 0.92866310336034E+00 -0.12080975337915E+00  0.13261190072078E-01  0.34251063842855E-02  0.23111031762095E-03 -1
 0.91284704104426E+00 -0.12740567554001E+00  0.11307127890745E-01  0.32440099405603E-02  0.78073344592883E-03  1
 0.89705291902074E+00 -0.13494404286819E+00  0.94802900297411E-02  0.31238874598148E-02  0.15824175908853E-02  1
 0.88128471337577E+00 -0.14264060982467E+00  0.88184097910942E-02  0.30423098102198E-02  0.19430606307437E-02  1
 0.86554639367101E+00 -0.14961411600693E+00  0.84508375362186E-02  0.29813796892793E-02  0.21421223067395E-02  1
 0.84984192194451E+00 -0.15545513742071E+00  0.82042190263132E-02  0.29308627303266E-02  0.22658369179697E-02  1
 0.83417525171325E+00 -0.15997311345637E+00  0.80091165701052E-02  0.28851669573827E-02  0.23586712385458E-02  1
 0.81855032697790E+00 -0.16338683678580E+00  0.78371647166779E-02  0.28417142738910E-02  0.24401209445017E-02  1
 0.80297108122994E+00 -0.16579388350424E+00  0.76758336501741E-02  0.27992983197203E-02  0.25197677686284E-02  1
 0.78744143646137E+00 -0.16758661492237E+00  0.75244811685964E-02  0.27578903329127E-02  0.25963369437961E-02  1
 0.77196530217744E+00 -0.16898434525998E+00  0.73850799064660E-02  0.27177250773037E-02  0.26663188932166E-02  1
 0.75654657441241E+00 -0.17013817511226E+00  0.72551346906782E-02  0.26785411726139E-02  0.27306661313879E-02  1
 0.74118913474876E+00 -0.17095350414818E+00  0.71262865452702E-02  0.26394272652244E-02  0.27980259141299E-02  1
 0.72589684934000E+00 -0.17136612763658E+00  0.69906438521441E-02  0.25995265019247E-02  0.28778902884304E-02  1
 0.71067356793742E+00 -0.17141851023233E+00  0.68493789058481E-02  0.25589957683661E-02  0.29702741451383E-02  1
 0.69552312292093E+00 -0.17140111945468E+00  0.67127111708343E-02  0.25190223021577E-02  0.30628612428851E-02  1
 0.68044932833424E+00 -0.17145868446893E+00  0.65866224533218E-02  0.24803062156235E-02  0.31469045320203E-02  1
 0.66545597892474E+00 -0.17146034042300E+00  0.64642035410020E-02  0.24420322186065E-02  0.32306466832607E-02  1
 0.65054684918818E+00 -0.17121465194618E+00  0.63348830708321E-02  0.24029660564476E-02  0.33296213686337E-02  1
 0.63572569241844E+00 -0.17075666349302E+00  0.61966067245020E-02  0.23629069695240E-02  0.34489715478904E-02  1
