# Reynolds:  0.39043E+05
# Mach:  0.38640E+00
#  r/R          c/R          V (m/s)      AoA (deg)    beta (deg)   phi (deg)    Cl           Cd           s factor     Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c    Ue (m/s)     dp/ds (Pa/m) delta (m)    delta* (m)   theta (m)    tau_w (Pa)   x trans/c
#  0.99014E+00  0.98237E-01  0.20443E+02  0.19159E+01  0.11809E+02  0.96240E+01  0.55690E+00  0.36423E-01  0.81155E-01  0.21075E+02  0.23140E+05  0.17363E-02  0.62427E-03  0.21099E-03  0.45055E+00  0.74467E+00 -0.18152E+02 -0.21675E+04  0.15369E-02  0.28481E-03  0.11537E-03  0.84936E+00  0.93290E+00
#  x/c                -Cp                    delta*/c              theta/c               Cf                    BC
 0.99206706157050E+00  0.53544548877177E-02  0.60698629573426E-02  0.27751387603315E-02  0.57350009399787E-02  2
 0.97620309436915E+00 -0.39112411889990E-01  0.66715885236639E-02  0.29776752721914E-02  0.48749354048471E-02  2
 0.96034511791188E+00 -0.82572674929784E-01  0.79322566919249E-02  0.31680712159822E-02  0.31879030572975E-02  2
 0.94449712435965E+00 -0.97955508821562E-01  0.88643705579154E-02  0.32574717270427E-02  0.23457667252152E-02  2
 0.92866310336034E+00 -0.10283613358609E+00  0.88203975291624E-02  0.32291253906410E-02  0.23154953336244E-02  2
 0.91284704104426E+00 -0.10521692817454E+00  0.85501289909348E-02  0.31774732827233E-02  0.24497611622306E-02  2
 0.89705291902074E+00 -0.10749473521229E+00  0.83363833560575E-02  0.31312176230072E-02  0.25456527051002E-02  2
 0.88128471337577E+00 -0.10978358351786E+00  0.82046471263655E-02  0.30935712196035E-02  0.25695110227907E-02  2
 0.86554639367101E+00 -0.11152036518627E+00  0.81274107657519E-02  0.30609349484275E-02  0.25307888237889E-02  2
 0.84984192194451E+00 -0.11241018818605E+00  0.81319705993286E-02  0.30312054013270E-02  0.24225376680069E-02  2
 0.83417525171325E+00 -0.11248718233837E+00  0.82388851019586E-02  0.30042799497121E-02  0.23785412528167E-02 -1
 0.81855032697790E+00 -0.11245439293484E+00  0.81956995732137E-02  0.29795942392828E-02  0.23686500721981E-02 -1
 0.80297108122994E+00 -0.11266132437781E+00  0.81704226203396E-02  0.29565070603890E-02  0.23424156068751E-02 -1
 0.78744143646137E+00 -0.11292266403591E+00  0.81496895678424E-02  0.29334127072875E-02  0.23114367210992E-02 -1
 0.77196530217744E+00 -0.11298612139094E+00  0.81188472894523E-02  0.29087244906316E-02  0.22886144814407E-02 -1
 0.75654657441241E+00 -0.11284244127591E+00  0.80737608173363E-02  0.28821009375763E-02  0.22774094459858E-02 -1
 0.74118913474876E+00 -0.11258673195851E+00  0.80206601003005E-02  0.28542810419682E-02  0.22722814636693E-02 -1
 0.72589684934000E+00 -0.11232111457867E+00  0.79693924264621E-02  0.28263012548453E-02  0.22643002909291E-02 -1
 0.71067356793742E+00 -0.11203403333877E+00  0.79252478652715E-02  0.27986546376052E-02  0.22485027348014E-02 -1
 0.69552312292093E+00 -0.11157443803337E+00  0.78802845359956E-02  0.27704978716890E-02  0.22321847617927E-02 -1
 0.68044932833424E+00 -0.11056474029863E+00  0.78119322029350E-02  0.27396793028890E-02  0.22370765536583E-02 -1
 0.66545597892474E+00 -0.10874198382756E+00  0.76977929105409E-02  0.27042120053340E-02  0.22866258174094E-02 -1
 0.65054684918818E+00 -0.10613087711990E+00  0.75399910072500E-02  0.26644142021420E-02  0.23837744608357E-02 -1
 0.63572569241844E+00 -0.10338120592199E+00  0.73704859118058E-02  0.26234556301186E-02  0.25004311112133E-02 -1
 0.62099623976269E+00 -0.10102651084846E+00  0.72202364590051E-02  0.25845422512820E-02  0.26031751205029E-02 -1
 0.60636219928208E+00 -0.99081673375179E-01  0.70952300105556E-02  0.25483554217272E-02  0.26818429892268E-02 -1
 0.59182725501823E+00 -0.97378332569229E-01  0.69868082844460E-02  0.25139609208610E-02  0.27436535398418E-02 -1
 0.57739506606585E+00 -0.95736641335690E-01  0.68858848410404E-02  0.24803443916486E-02  0.27982336281282E-02 -1
 0.56306926565152E+00 -0.94102116386152E-01  0.67881256374126E-02  0.24470134653629E-02  0.28504246209699E-02 -1
 0.54885346021908E+00 -0.92469086239080E-01  0.66932912151357E-02  0.24139261382922E-02  0.29001495959630E-02 -1
 0.53475122852174E+00 -0.90861371069219E-01  0.66030312099414E-02  0.23812343382055E-02  0.29446038032687E-02 -1
 0.52076612072110E+00 -0.89322414420154E-01  0.65206273997176E-02  0.23492350668251E-02  0.29781283346852E-02 -1
 0.50690165749346E+00 -0.87917795826539E-01  0.64494057588024E-02  0.23181590788653E-02  0.29940615681825E-02 -1
