       Mic #   OASPL [dB]                OASPL-A [dBA]             OASPL-D [dBD]
           2   49.906605962382038        50.065199006678391        57.739217422525336     
           3   51.963955633177548        52.160499985401358        59.902965328146223     
           4   53.680285200364580        53.917886641953245        61.692125891101746     
           5   54.882929652266142        55.165868017687821        62.993753009339926     
           6   55.341741815871060        55.649430931656937        63.514349943725350     
           7   54.882929638562231        55.165867999237207        62.993753000146782     
           8   53.680285167692418        53.917886599862150        61.692125867136980     
           9   51.963955576614595        52.160499915317047        59.902965282543271     
          10   49.906605882640356        50.065198912460289        57.739217359899413     
          11   47.052222453803473        47.167474105411372        54.643879159350391         
          13   52.479454750408145        52.640345568066621        60.323443212033460     
          14   54.995554228136839        55.213028513277116        62.963150194984465     
          15   56.804572094237642        57.085172986662691        64.902495016939341     
          16   57.493446423944910        57.813184544529449        65.691402052225470     
          17   56.804572066833231        57.085172953397972        64.902494995660177     
          18   54.995554170009264        55.213028443967346        62.963150147721322     
          19   52.479454662472946        52.640345466691855        60.323443141181976     
          20   49.706904975860198        49.834322426601211        57.419843866228462     
          21   45.387198650541698        45.487327646843980        52.728654833130079          
          23   52.263667615754805        52.378104886284611        59.953286762480730     
          24   56.134194123788184        56.304390188155594        63.998672117817307     
          25   59.047060731417986        59.310351921445630        67.082749275659282     
          26   60.121626135829594        60.472955807694923        68.357215751078513     
          27   59.047060674837518        59.310351858773664        67.082749230542632     
          28   56.134194025261522        56.304390077935970        63.998672035475018     
          29   52.263667478659890        52.378104738083806        59.953286653173876     
          30   48.541532687057611        48.645474628593348        56.055872893738112     
          31   42.721411104652191        42.782828960781679        49.607290238273478        
          33   49.986287801709217        50.053439276444827        57.331571008521117     
          34   56.296952955317366        56.359456560961135        63.974615124366750     
          35   61.736325434732883        61.963168734538520        69.609395221830525     
          36   62.730193253031707        63.161361915391751        70.999763241860649     
          37   61.736325337879229        61.963168637273810        69.609395151860539     
          38   56.296952812378827        56.359456408053532        63.974615007137601     
          39   49.986287583486153        50.053439052237074        57.331570834825598     
          40   45.636200504505439        45.712568579769339        52.694694332736759     
          41   42.332484208317034        42.238148970807188        49.478506706217999          
          43   46.955804513817270        46.843784301125396        54.049248937821147     
          44   51.022428964032429        50.870536426846627        58.053871314427433     
          45   66.275773579968202        66.801830837678636        74.401156238095922     
          46   50.658630492924395        50.694952391981694        57.688667623008868     
          47   66.275773383604616        66.801830564873441        74.401155872390049     
          48   51.022428872970174        50.870536338841887        58.053871294071975     
          49   46.955804484627066        46.843784277954072        54.049248988853520     
          50   44.322015342418368        44.223261865639628        51.449440414091569     
          51   45.287350247112521        45.216379764858161        53.038659583834800         
          53   51.780145136160023        51.764950805530262        59.690469019051882     
          54   56.965186159037927        57.086735896231751        65.003571438710452     
          55   61.451671114624403        61.689133310957594        69.152370026195655     
          56   61.668191237204823        62.100695228338836        69.536356476959355     
          57   61.451671180106196        61.689133375874817        69.152370098947145     
          58   56.965186257871594        57.086735996632868        65.003571543226059     
          59   51.780145290805429        51.764950963889753        59.690469181244751     
          60   48.030290348188565        47.975263735626299        55.850787111209556     
          61   47.297585496685286        47.337274964017020        55.232320754989232          
          63   52.821807095140997        52.992859617338056        60.823273737204332     
          64   55.796332590601203        56.043451626756003        63.705930553735548     
          65   57.968903013117384        58.244469841416986        65.638292658848172     
          66   58.912672137226309        59.323519668135454        66.691101990978140     
          67   57.968903094936628        58.244469924708596        65.638292760101933     
          68   55.796332721008795        56.043451757187881        63.705930700703341     
          69   52.821807263362778        52.992859783647233        60.823273912393987     
          70   49.864276125993115        49.956700380897630        57.839979593175130     
          71   48.062346314721800        48.199863193776729        56.051482918206041          
          73   52.224615580763881        52.473247110102577        60.174359605738381     
          74   53.965242283031358        54.206077696397308        61.675470103862594     
          75   55.367582023143029        55.647776463767713        62.973633830076523     
          76   56.052527151619209        56.407241745107086        63.766776565145420     
          77   55.367582096480788        55.647776539617496        62.973633923070480     
          78   53.965242412718162        54.206077827819399        61.675470255344507     
          79   52.224615747696774        52.473247276086539        60.174359788693707     
          80   50.127423293976946        50.321187906705674        58.121124155688790     
          81   48.088034993728677        48.295061660047587        56.079141777553360        
          83   51.164593262045358        51.431785656746037        59.023631288703051     
          84   52.341135866606649        52.597749745378252        59.987265641529028     
          85   53.253672057614892        53.521864653263421        60.799291856712365     
          86   53.605138569472402        53.853439815955852        61.160903005633543     
          87   53.253672120528925        53.521864718873971        60.799291937029608     
          88   52.341135983215196        52.597749864925589        59.987265782248656     
          89   51.164593418034698        51.431785813666181        59.023631466179864     
          90   49.687126187960928        49.935350344125638        57.645931983487195     
