       Mic #   OASPL [dB]                OASPL-A [dBA]             OASPL-D [dBD]
           1   50.150585408644446        50.118935598043493        58.139250607126911     
           2   52.191467804083551        52.216738582386526        60.290724961562631     
           3   53.836746788282930        53.943798419591161        62.043993561374450     
           4   54.985332491348458        55.185739567020548        63.343595231749241     
           5   55.426523541366592        55.666637446478106        63.859438401516549     
           6   54.985332492492496        55.185739558488763        63.343595227644414     
           7   53.836746783365314        53.943798395844937        62.043993547701881     
           8   52.191467782876956        52.216738534922975        60.290724928340708     
           9   50.150585368597135        50.118935529245945        58.139250558383168     
          10   49.936422650053146        49.878241777808931        57.833408710027058     
          11   52.731190642888166        52.703247484472733        60.730486960565258     
          12   55.183435161015211        55.245920852241383        63.325223562979652     
          13   56.898268808581420        57.085196913738699        65.230841198720412     
          14   57.565476826049988        57.826913779831344        66.041750178884783     
          15   56.898268800118743        57.085196893154503        65.230841184268456     
          16   55.183435135061828        55.245920804152036        63.325223527689694     
          17   52.731190592971366        52.703247407898637        60.730486903287513     
          18   49.936422572961760        49.878241673902565        57.833408632166140     
          19   48.668597761004293        48.631402328485144        56.459345343633572     
          20   52.518823616863095        52.448356321905642        60.397156256210501     
          21   56.387058737675332        56.374163219754678        64.409403585399247     
          22   59.124779795340203        59.279107950724359        67.385010941272384     
          23   60.106347483903747        60.408932356104444        68.627125746293004     
          24   59.124779763227323        59.279107904610640        67.385010905584025     
          25   56.387058674138679        56.374163133236223        64.409403516252453     
          26   52.518823519294806        52.448356201287787        60.397156162362116     
          27   48.668597621793808        48.631402168514555        56.459345217872070     
          28   45.349153423540891        45.450306655320006        52.932878933554562     
          29   50.051291312470624        50.026905492150277        57.759163230055243     
          30   56.698834208973437        56.564792030529240        64.545193078463669     
          31   61.776141856055389        61.888780159772885        69.900043635147682     
          32   62.418841144898806        62.815459542486010        70.969347198210343     
          33   61.776141787240192        61.888780083160654        69.900043578524560     
          34   56.698834102122063        56.564791905832180        64.545192977395686     
          35   50.051291132644657        50.026905298592709        57.759163074747413     
          36   45.349153189418203        45.450306415705114        52.932878736877527     
          37   44.130332145054119        43.906719395870596        51.464995699852011     
          38   46.784711951607690        46.540751156122340        54.086493061941148     
          39   50.956928399573719        50.638847891305744        58.181861019148073     
          40   66.208819677799056        66.737269026404164        74.677140078479624     
          41   49.961013936642757        50.297518152236023        57.387089698966477     
          42   66.208819560569339        66.737268823689703        74.677139782756385     
          43   50.956928350848223        50.638847831164249        58.181861009852163     
          44   46.784711968471619        46.540751160817834        54.086493123674657     
          45   44.130332209124347        43.906719445728122        51.464995807906661     
          46   48.482710637972502        48.117786440257959        56.206840485063765     
          47   52.305064812326087        51.994213988827426        60.137362029906420     
          48   57.449517074124749        57.348938452954343        65.524205033471802     
          49   61.293059875344554        61.513232411061274        69.410495671164909     
          50   61.121927256952077        61.591070238538393        69.448121574190324     
          51   61.293059944211173        61.513232477687822        69.410495741904072     
          52   57.449517171649404        57.348938548858222        65.524205130949525     
          53   52.305064968135618        51.994214143112274        60.137362185596679     
          54   48.482710842166000        48.117786640876673        56.206840690488448     
          55   50.261524333655061        50.109644293755899        58.245671305437853     
          56   53.133730505263955        53.119617587524218        61.243164816055788     
          57   55.900792829120185        56.055215807203226        64.087787361779789     
          58   57.786585538467392        58.063791137586982        65.927436373045481     
          59   58.563504531118362        58.990678311069203        66.853153169950389     
          60   57.786585625733721        58.063791224308574        65.927436471982901     
          61   55.900792964076558        56.055215938802377        64.087787503816884     
          62   53.133730677443026        53.119617752800153        61.243164985524892     
          63   50.261524541182787        50.109644492780021        58.245671506058230     
          64   50.382115992473942        50.410122570812980        58.518552535305275     
          65   52.360722304671455        52.503969523071483        60.564887303569051     
          66   53.923180797057206        54.128439388755666        62.031099057236091     
          67   55.180047004699503        55.470586233505855        63.295696889430495     
          68   55.808496037477589        56.183012995728916        64.059437382580469     
          69   55.180047082544590        55.470586312192644        63.295696980558731     
          70   53.923180932974930        54.128439523303911        62.031099205585392     
          71   52.360722478222357        52.503969691226331        60.564887482156394     
          72   50.382116196858597        50.410122766116487        58.518552736602452     
          73   49.827950740564937        49.967524291383107        58.034735286337799     
          74   51.202727139246498        51.413064448062016        59.414025800301019     
          75   52.243012863196967        52.485694284401958        60.343446442940319     
          76   53.069185497016903        53.354022411602280        61.148435765633110     
          77   53.461843533668173        53.765474398419499        61.631026141328249     
          78   53.069185563464700        53.354022479378074        61.148435844353351     
          79   52.243012985870351        52.485694407498386        60.343446581330305     
          80   51.202727302343561        51.413064608426389        59.414025974485725     
          81   49.827950935062582        49.967524479263183        58.034735484673334     
