       Mic #   OASPL [dB]                OASPL-A [dBA]             OASPL-D [dBD]
           1   124.84575558680606        111.21456868376740        118.66791197504915     
           2   128.10645111043283        114.62424746580105        122.09718602923884     
           3   131.78099312876196        118.54173098902982        126.06847718581805     
           4   135.15279129455206        122.21758468294067        129.77141203326772     
           5   136.32277125401455        123.65305617464321        131.21154107704646     
           6   135.15279126880654        122.21758469653724        129.77141203049365     
           7   131.78099309788249        118.54173099251847        126.06847717620968     
           8   128.10645107139658        114.62424746240882        122.09718601230409     
           9   124.84575554312678        111.21456867517345        118.66791195298829     
          10   123.87243881687948        110.09017202079272        117.56313780733664     
          11   127.72244512578635        114.04533892193889        121.53802703301025     
          12   132.18960254937011        118.79197200957455        126.32773806526103     
          13   136.33372219172114        123.39780352516173        130.91106927340803     
          14   137.49431080109073        124.87579886771016        132.33997628102387     
          15   136.33372215920099        123.39780352410459        130.91106926020140     
          16   132.18960250995150        118.79197199960088        126.32773804480316     
          17   127.72244507764472        114.04533890511811        121.53802700436739     
          18   123.87243876346902        110.09017199994034        117.56313777424913     
          19   121.81408978085011        107.85325523862120        115.36145267117229     
          20   126.47466501119744        112.54615189660325        120.08443391815027     
          21   132.28491361163810        118.56737103358452        126.15469608516507     
          22   137.78915369475533        124.82165537064370        132.31499481656425     
          23   138.35866467633704        125.94862347732438        133.23050869428317     
          24   137.78915365915498        124.82165535501588        132.31499479498336     
          25   132.28491356734028        118.56737101098153        126.15469605546349     
          26   126.47466495378231        112.54615186567725        120.08443387759556     
          27   121.81408971404971        107.85325520125190        115.36145262310356     
          28   117.10905229426504        102.94671586783933        110.50964736801964     
          29   122.65312221290563        108.38190336308776        116.01265422325461     
          30   130.96185855585210        116.60987726122431        124.35812089411533     
          31   139.76155989949245        126.80601750720400        134.26807362994674     
          32   137.98543611600277        125.86643405862912        132.84973575392047     
          33   139.76155987674935        126.80601749378418        134.26807361635002     
          34   130.96185851372923        116.60987722952873        124.35812085998343     
          35   122.65312213835345        108.38190330650086        116.01265416095494     
          36   117.10905219474256        102.94671579198875        110.50964728471402     
          37   106.18677638393875        92.883361320258416        99.947380768274854     
          38   108.73006905268205        95.472113162602312        102.52621613890754     
          39   112.50349288149206        99.193584800790148        106.26243778443752     
          40   121.05437403410895        108.25153466022819        115.26840119125231     
          41   118.37490380175629        106.29887348947571        112.90930570889159     
          42   121.05437315426465        108.25153345509072        115.26839986119894     
          43   112.50349269214253        99.193584647266761        106.26243761519348     
          44   108.73006892013116        95.472113062975765        102.52621602526787     
          45   106.18677628640297        92.883361251900055        99.947380687268691     
          46   117.27291128264130        103.60656647723854        110.93957348928056     
          47   122.78211814606090        108.91206886962138        116.35821627265929     
          48   131.07106655823065        116.98870872377006        124.61571599144992     
          49   139.88551819790788        127.04314118893548        134.47178365660255     
          50   137.49257347485349        124.52292407673673        131.81588706057471     
          51   139.88551820207667        127.04314119949927        134.47178366797397     
          52   131.07106655503580        116.98870873545673        124.61571599710105     
          53   122.78211815790756        108.91206890364147        116.35821629660200     
          54   117.27291131690720        103.60656653579299        110.93957353648484     
          55   121.93331047111046        108.25730891311198        115.63911621823121     
          56   126.60005783452065        112.90327409404281        120.34327454224234     
          57   132.43279238397554        118.90341273467178        126.42045933238626     
          58   137.72134941403920        124.79086907119155        132.27567035715109     
          59   137.61110318808039        124.24728382883224        131.89600597272411     
          60   137.72134940382773        124.79086907938411        132.27567035776042     
          61   132.43279237759788        118.90341275126167        126.42045933946423     
          62   126.60005783615922        112.90327412342998        120.34327455964279     
          63   121.93331048584376        108.25730895700119        115.63911624910041     
          64   123.98752968658562        110.41130505496952        117.79804231896826     
          65   127.85453057489758        114.36288269297009        121.78650851463294     
          66   132.33837669778561        119.07790300732179        126.56964410221687     
          67   136.16388730608784        123.08980925894771        130.66400409503467     
          68   136.69727203699853        123.07173575020086        130.93905631901575     
          69   136.16388730754952        123.08980929603072        130.66400411773469     
          70   132.33837669648202        119.07790303668119        126.56964411870240     
          71   127.85453057740756        114.36288272860369        121.78650853614533     
          72   123.98752969754372        110.41130509895228        117.79804234848868     
          73   124.96009348414421        111.50639851843961        118.89170232862143     
          74   128.23990160069911        114.90631337181860        122.32925396408717     
          75   131.88485277640086        118.76308621154809        126.26026366221893     
          76   134.89567319473815        121.71763972269960        129.37747115926007     
          77   135.58787746632541        121.82651596334375        129.81872687495309     
          78   134.89567320843531        121.71763978087327        129.37747120000188     
          79   131.88485278360855        118.76308625620675        126.26026369114287     
          80   128.23990160811937        114.90631341712020        122.32925399337370     
          81   124.96009349610389        111.50639856748052        118.89170236169427     
