       Mic #   OASPL [dB]                OASPL-A [dBA]             OASPL-D [dBD]
           1   138.73356490747082        138.74724654335353        145.82649055157557     
           2   141.28680131530382        141.20706624453143        148.03254248606481     
           3   143.81393380189729        143.51012048755061        149.92465023817294     
           4   145.63479063054137        145.00170716323720        151.04737286854854     
           5   145.92193262793387        145.23376683338688        151.25000442263155     
           6   145.63479069157034        145.00170723573589        151.04737295789545     
           7   143.81393388083436        143.51012058293438        149.92465036447422     
           8   141.28680140644153        141.20706634887912        148.03254262206988     
           9   138.73356500858807        138.74724665414956        145.82649069146325     
          10   138.24414922044366        138.28937525702651        145.52072464938823     
          11   141.46035930280158        141.44968617154802        148.47404311691540     
          12   144.76004012347664        144.56392671564907        151.19316043244902     
          13   147.23328716403822        146.71000405119736        152.88389376167086     
          14   147.47066613386605        146.91949732045327        153.10015971434859     
          15   147.23328721891755        146.71000412037645        152.88389385377369     
          16   144.76004019049401        144.56392679629150        151.19316054362815     
          17   141.46035938262779        141.44968626058076        148.47404323290920     
          18   138.24414931149994        138.28937535433099        145.52072477103241     
          19   136.67016843683672        136.73413864159781        144.10388699057410     
          20   140.89332983248042        140.93594386878317        148.16145680721272     
          21   145.56752098579119        145.47493246499525        152.33926909598915     
          22   149.08770526853607        148.66895435748029        155.02528865896957     
          23   148.96892671892542        148.60832249832126        155.07089357213036     
          24   149.08770530683691        148.66895440902840        155.02528873676317     
          25   145.56752103213020        145.47493251904552        152.33926917178593     
          26   140.89332989407995        140.93594393534812        148.16145689295490     
          27   136.67016851315486        136.73413872171776        144.10388708979471     
          28   132.17123908915283        132.23750625977232        139.70303395817945     
          29   137.77855789871552        137.86244029588264        145.27990963424045     
          30   145.45104566510210        145.49427850558629        152.67362472640752     
          31   151.45947803370512        151.10444071689381        157.61834650897481     
          32   149.06108242857360        148.88490412413068        155.80722322949111     
          33   151.45947804418674        151.10444073284205        157.61834653786235     
          34   145.45104568318516        145.49427852602250        152.67362475510078     
          35   137.77855793710046        137.86244033733448        145.27990968757226     
          36   132.17123914584170        132.23750632054555        139.70303403454403     
          37   112.34700485185769        110.32995703707293        117.08829264556741     
          38   114.90149555063043        112.90600780740773        119.66739228206997     
          39   118.72279737488142        116.77948819213674        123.53647996444576     
          40   125.93005790471216        123.63128234432644        129.85757713236407     
          41   123.59534167114393        121.73218234619620        128.92921175024728     
          42   125.93005770490693        123.63128220026800        129.85757706100799     
          43   118.72279726963940        116.77948814767502        123.53647996735988     
          44   114.90149550133511        112.90600781777295        119.66739234050507     
          45   112.34700483736616        110.32995708245373        117.08829273968772     
          46   132.59051414874119        132.66724784690459        140.19822593272525     
          47   138.02979701629903        138.12148220097941        145.58221238985365     
          48   145.54016415318438        145.58844072049965        152.78452764720737     
          49   151.42374418457774        151.06632263925999        157.56977949221192     
          50   148.83903349221004        148.66452293650366        155.55418551700396     
          51   151.42374420200611        151.06632266087058        157.56977952670661     
          52   145.54016418018344        145.58844074813453        152.78452768255744     
          53   138.02979707410853        138.12148225810489        145.58221245684149     
          54   132.59051423719947        132.66724793347100        140.19822603121665     
          55   136.86304583930382        136.93596029665497        144.33359318567238     
          56   141.00221735258620        141.05159978770459        148.29014144917434     
          57   145.59899147611739        145.50379175192799        152.35744417923232     
          58   148.98419002712299        148.55256314027616        154.87463190413561     
          59   148.66484299918676        148.33188578336868        154.76835247796302     
          60   148.98419007628553        148.55256320159526        154.87463199122661     
          61   145.59899153374491        145.50379181592368        152.35744426477902     
          62   141.00221742975202        141.05159986743556        148.29014154683813     
          63   136.86304593632047        136.93596039403016        144.33359330007124     
          64   138.35136701637640        138.40427563139124        145.64473313769250     
          65   141.50996435599583        141.50088678791400        148.51669778008397     
          66   144.75954525049727        144.54686079880841        151.13673913535860     
          67   147.05719911403361        146.51497983633624        152.65676087040174     
          68   147.10652908591018        146.59745306959110        152.76088807524698     
          69   147.05719918144368        146.51497991569295        152.65676097156691     
          70   144.75954533091590        144.54686089154160        151.13673925780049     
          71   141.50996445141308        141.50088689078876        148.51669790892606     
          72   138.35136712560302        138.40427574439488        145.64473327348190     
          73   138.79346380795184        138.80980305286511        145.88139928759890     
          74   141.29838201705113        141.21208187751679        148.00998312134706     
          75   143.76924887959024        143.43779217527018        149.79727378095055     
          76   145.39689821485626        144.74733029522628        150.77223725088311     
          77   145.52107633932999        144.88141216947207        150.88658338421033     
          78   145.39689828827119        144.74733037673050        150.77223734844927     
          79   143.76924897347916        143.43779228396093        149.79727391882739     
          80   141.29838212422104        141.21208199641063        148.00998327075010     
          81   138.79346392652519        138.80980317919895        145.88139944169177     
