 r/R      c/R  pitch   sweep   zhigh   twist
0.24 0.152853 6.8208  0.6732  0.2701 32.6134
0.25 0.153480 7.0256  0.6798  0.2678 32.1080
0.28 0.154773 7.3767  0.6935  0.2627 31.0147
0.29 0.155427 7.5230  0.7005  0.2599 30.4313
0.30 0.156093 7.6497  0.7076  0.2569 29.8259
0.31 0.156760 7.7571  0.7147  0.2538 29.1988
0.33 0.157920 7.8984  0.7273  0.2479 28.0502
0.36 0.159160 7.9849  0.7413  0.2406 26.6946
0.38 0.160320 8.0000  0.7549  0.2326 25.2926
0.41 0.161333 8.0000  0.7679  0.2241 23.9904
0.48 0.163240 8.0000  0.8006  0.1945 20.7815
0.50 0.163373 8.0000  0.8086  0.1833 19.9051
0.53 0.163173 8.0000  0.8148  0.1715 19.1099
0.55 0.162627 8.0000  0.8189  0.1590 18.3857
0.57 0.161667 8.0000  0.8207  0.1459 17.7168
0.60 0.160280 8.0000  0.8199  0.1321 17.0964
0.62 0.158427 8.0000  0.8163  0.1176 16.5194
0.64 0.156053 8.0000  0.8096  0.1026 15.9812
0.69 0.149600 8.0000  0.7862  0.0704 15.0058
0.72 0.145440 8.0000  0.7690  0.0534 14.5622
0.74 0.140627 8.0000  0.7478  0.0357 14.1440
0.76 0.135093 8.0000  0.7223  0.0173 13.7490
0.79 0.128800 8.0000  0.6923 -0.0017 13.3747
0.81 0.121733 8.0000  0.6576 -0.0213 13.0190
0.83 0.113827 8.0000  0.6179 -0.0416 12.6797
0.86 0.105067 8.0000  0.5730 -0.0626 12.3545
0.88 0.095387 8.0000  0.5226 -0.0842 12.0410
0.91 0.084773 8.0000  0.4665 -0.1065 11.7465
0.93 0.073240 8.0000  0.4045 -0.1287 11.7081
0.95 0.060747 8.0000  0.3364 -0.1501 12.1024
