  r/R    c/R  beta  sweep   zhigh
0.121 0.0968 23.16 0.6732  0.2701
0.141 0.1070 29.26 0.6798  0.2678
0.175 0.1161 36.26 0.6935  0.2627
0.215 0.1275 41.48 0.7005  0.2599
0.259 0.1404 42.58 0.7076  0.2569
0.305 0.1498 39.44 0.7147  0.2538
0.351 0.1562 35.15 0.7273  0.2479
0.397 0.1618 31.44 0.7413  0.2406
0.443 0.1652 28.39 0.7549  0.2326
0.488 0.1658 25.91 0.7679  0.2241
0.532 0.1649 23.87 0.8006  0.1945
0.574 0.1619 22.15 0.8086  0.1833
0.615 0.1576 20.67 0.8148  0.1715
0.655 0.1528 19.43 0.8189  0.1590
0.693 0.1469 18.48 0.8207  0.1459
0.730 0.1406 17.72 0.8199  0.1321
0.764 0.1348 17.12 0.8163  0.1176
0.796 0.1299 16.62 0.8096  0.1026
0.826 0.1253 16.17 0.7862  0.0704
0.855 0.1210 15.80 0.7690  0.0534
0.880 0.1172 15.54 0.7478  0.0357
0.904 0.1133 15.32 0.7223  0.0173
0.925 0.1090 15.10 0.6923 -0.0017
0.943 0.1048 14.89 0.6576 -0.0213
0.959 0.1012 14.71 0.6179 -0.0416
0.972 0.0985 14.57 0.5730 -0.0626
0.983 0.0965 14.46 0.5226 -0.0842
0.991 0.0950 14.38 0.4665 -0.1065
0.997 0.0938 14.32 0.4045 -0.1287
0.999 0.0930 14.27 0.3364 -0.1501
