,Motor + Prop Name,Voltage [V],Battery config,Max Current [A],Max Current drawn [A],Thrust [g],Power [W],Weight of one [g],Extra considerations,Average Power Expenditure,Total Capacity Required [mAh],Best battery weight,Battery capacity,Number of Batteries,Overall Weight [kg]
0,U7 v2.0 KV420 + 17.5x5.8 CF,25.0,7S,40,39.7,2880,455.0,296,,406,37039,4928,44000,2,7296
1,U7 v2.0 KV490 + 17.5x5.8 CF,22.2,7S,44,53.0,3450,638.0,299,How does it drawn more current than allowed idk,433,44484,4946,46000,2,7338
2,MN505S KV380+ P18*6.1,23.96,6S,50,39.8,2936,471.0,225,,409,38932,4928,44000,2,6728
3,MAS 14X7X3 + COBRA 4120 KV710,14.0,4S,68,65.22,4215,965.3,290,This is max thrust ,448,72982,6547,78000,15,8867
4,APC14X7 + AT4130 KV300 LONG SHAFT ,25.0,8S,75,53.21,2989,595.23,405,,483,44063,4946,46000,2,8186
5,APC15X8 + AT4130 KV300 ,43.0,12S,75,72.0,4010,816.0,405,,405,21481,5800,22000,1,9040
6,APC 15X6E+ COBRA 4120 KV710,14.8,4S,68,61.49,4154,910.0,290,This is max thrust ,448,69037,6111,72800,14,8431
7,APC 16X8 + AT4130 KV230,44.2,12S,60,43.78,2906,468.76,408,,399,20588,5800,22000,1,9064
8,APC 17X10 + AT4130 KV450,21.92,6S,75,74.7,3610,627.0,408,,412,42867,4928,44000,2,8192
9,APC18X8 +AT4130KV300,22.2,8S,75,55.7,3438,512.26,405,,369,37909,4928,44000,2,8168
10,APC18X8 +AT4130KV450,21.0,6S,75,72.7,3824,615.93,408,,356,38663,4928,44000,2,8192
