/home/jlarija/Desktop/PycharmProjects/DSE-LARES-HIVE-Resources/src/propulsion/QPROP/Propeller Geometries/apc14x55MR_NACA4412_QPROPformat.txt
 
2   7 ! Nblades  [ R ] 
 
0.4455  6.76  ! CL0     CL_a 
 -0.35  1.37   ! CLmin   CLmax 
 
0.0174  0.012  0.0025 0.5651   !  CD0    CD2u   CD2l   CLCD0 
100000   -0.5              !  REref  REexp 
 
0.0254  0.0254   1.0  !  Rfac   Cfac   Bfac  
0.      0.       0.   !  Radd   Cadd   Badd  
 
#  r    chord    beta
1.28   1.0347   31.1442
1.36   1.0758   31.0274
1.44   1.1142   30.5491
1.52   1.1499   29.7567
1.6   1.1828   28.6828
1.6814   1.2135   27.5024
1.8299   1.2624   25.5651
1.9897   1.3047   23.7467
2.1495   1.3365   22.1575
2.3094   1.3576   20.7588
2.4692   1.3684   19.5197
2.6291   1.3688   18.4153
2.7889   1.36   17.4255
2.9487   1.3479   16.5338
3.1086   1.3331   15.7268
3.2684   1.3157   14.9931
3.4283   1.2959   14.3235
3.5881   1.2738   13.71
3.7479   1.2493   13.1461
3.9078   1.2225   12.6259
4.0676   1.1937   12.1448
4.2275   1.1627   11.6985
4.3873   1.1298   11.2834
4.5472   1.095   10.8965
4.707   1.0584   10.5349
4.8668   1.02   10.1962
5.0267   0.98   9.8785
5.1865   0.9384   9.5798
5.3464   0.8953   9.2985
5.5062   0.8507   9.0331
5.666   0.8049   8.7823
5.8259   0.7578   8.5449
5.9857   0.7095   8.32
6.1456   0.6602   8.1065
6.3054   0.6098   7.9036
6.4652   0.5585   7.7106
