
# QPROP Version 1.22
# 
# APC14X7                                                                         
# 
#  AT4130 Long Shaft                                                              
#   0.16800E-01  motor parameter 1 ,  R  (Ohms) 
#    2.5000      motor parameter 2 ,  Io (Amps) 
#    450.00      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
    3.000   1000.      0.000  0.1801      0.1006E-01   1.053       2.272    2.9739   0.1558   0.5131   0.00409  0.3555E-08  0.2835E-10   0.0003   0.0800   6.757      0.5403       0.3526  0.6224E-01
    3.000   2000.      0.000   1.682      0.4784E-01   10.02       4.524    4.7545   0.4658   0.5035   0.00205  0.8297E-08  0.3372E-10   0.0030   0.2345   21.51       5.045       0.8216  0.3804E-01
    3.000   3000.      0.000   4.361      0.1053       33.08       6.792    7.4622   0.6527   0.3955   0.00136  0.9563E-08  0.3299E-10   0.0077   0.2581   50.68       13.08       0.9521  0.3180E-01
    3.000   4000.      0.000   8.207      0.1828       76.57       9.076   11.1140   0.7591   0.3216   0.00102  0.1012E-07  0.3221E-10   0.0145   0.2441   100.9       24.62       1.0100  0.2844E-01
    3.000   5000.      0.000   13.26      0.2808       147.1      11.375   15.7347   0.8216   0.2705   0.00082  0.1047E-07  0.3168E-10   0.0233   0.2222   179.0       39.77       1.0454  0.2584E-01
    3.000   6000.      0.000   19.54      0.4008       251.8      13.693   21.3875   0.8599   0.2328   0.00068  0.1071E-07  0.3139E-10   0.0343   0.2002   292.9       58.63       1.0710  0.2428E-01
    3.000   7000.      0.000   27.12      0.5433       398.3      16.028   28.1029   0.8842   0.2043   0.00058  0.1092E-07  0.3126E-10   0.0476   0.1806   450.4       81.36       1.0925  0.2285E-01
    3.000   8000.      0.000   36.04      0.7110       595.7      18.383   36.0058   0.8999   0.1815   0.00051  0.1111E-07  0.3133E-10   0.0630   0.1634   661.9       108.1       1.1122  0.2209E-01
    3.000   9000.      0.000   46.38      0.9043       852.2      20.758   45.1119   0.9101   0.1633   0.00045  0.1130E-07  0.3148E-10   0.0809   0.1486   936.4       139.1       1.1314  0.2122E-01
    3.000  0.1000E+05  0.000   58.25       1.127       1180.      23.156   55.5892   0.9165   0.1481   0.00041  0.1150E-07  0.3177E-10   0.1013   0.1358   1287.       174.8       1.1514  0.2055E-01
    3.000  0.1100E+05  0.000   71.78       1.382       1591.      25.580   67.6054   0.9203   0.1353   0.00037  0.1171E-07  0.3219E-10   0.1243   0.1245   1729.       215.3       1.1730  0.2003E-01
    3.000  0.1200E+05  0.000   87.12       1.676       2106.      28.035   81.4745   0.9220   0.1241   0.00034  0.1194E-07  0.3282E-10   0.1502   0.1144   2284.       261.4       1.1968  0.2001E-01
    3.000  0.1300E+05  0.000   104.5       2.012       2739.      30.524   97.3121   0.9221   0.1145   0.00031  0.1220E-07  0.3357E-10   0.1794   0.1055   2970.       313.5       1.2237  0.1979E-01
    3.000  0.1400E+05  0.000   124.2       2.402       3521.      33.055  115.6833   0.9209   0.1058   0.00029  0.1251E-07  0.3455E-10   0.2121   0.0974   3824.       372.6       1.2547  0.1980E-01
    3.000  0.1500E+05  0.000   146.0       2.851       4478.      35.632  136.8486   0.9184   0.0978   0.00027  0.1280E-07  0.3573E-10   0.2478   0.0898   4876.       437.9       1.2851  0.2041E-01
