
# QPROP Version 1.22
# 
# apc14x55MR_NACA4412_QPROPformat.txt                                             
# 
#  AT4130 Long Shaft                                                              
#   0.32000E-01  motor parameter 1 ,  R  (Ohms) 
#    1.8000      motor parameter 2 ,  Io (Amps) 
#    300.00      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
    3.000   1000.      0.000  0.1788E-01  0.2966E-02  0.3106       3.394    1.8932   0.0483   0.1727   0.00409  0.3529E-09  0.8364E-11   0.0000   0.0083   6.425      0.5364E-01   0.0444  0.3976E-01
    3.000   2000.      0.000   1.041      0.2762E-01   5.785       6.752    2.6678   0.3212   0.5400   0.00205  0.5138E-08  0.1947E-10   0.0018   0.1734   18.01       3.124       0.5501  0.2741E-01
    3.000   3000.      0.000   2.926      0.6475E-01   20.34      10.123    3.8341   0.5241   0.4315   0.00136  0.6416E-08  0.2028E-10   0.0052   0.2262   38.81       8.777       0.6919  0.2285E-01
    3.000   4000.      0.000   5.683      0.1154       48.34      13.507    5.4253   0.6596   0.3527   0.00102  0.7011E-08  0.2034E-10   0.0100   0.2327   73.28       17.05       0.7586  0.2019E-01
    3.000   5000.      0.000   9.322      0.1800       94.24      16.905    7.4542   0.7478   0.2968   0.00082  0.7360E-08  0.2030E-10   0.0164   0.2219   126.0       27.97       0.7980  0.1872E-01
    3.000   6000.      0.000   13.87      0.2587       162.6      20.318    9.9278   0.8059   0.2559   0.00068  0.7603E-08  0.2026E-10   0.0244   0.2062   201.7       41.60       0.8253  0.1739E-01
    3.000   7000.      0.000   19.35      0.3524       258.3      23.745   12.8699   0.8452   0.2247   0.00058  0.7794E-08  0.2028E-10   0.0340   0.1900   305.6       58.05       0.8468  0.1634E-01
    3.000   8000.      0.000   25.80      0.4620       387.0      27.189   16.3138   0.8726   0.2000   0.00051  0.7956E-08  0.2035E-10   0.0453   0.1745   443.6       77.40       0.8650  0.1577E-01
    3.000   9000.      0.000   33.27      0.5880       554.2      30.649   20.2728   0.8919   0.1801   0.00045  0.8106E-08  0.2047E-10   0.0582   0.1606   621.3       99.80       0.8818  0.1508E-01
    3.000  0.1000E+05  0.000   41.81      0.7320       766.6      34.127   24.7976   0.9058   0.1636   0.00041  0.8252E-08  0.2064E-10   0.0730   0.1482   846.3       125.4       0.8980  0.1450E-01
    3.000  0.1100E+05  0.000   51.50      0.8958       1032.      37.625   29.9414   0.9159   0.1497   0.00037  0.8400E-08  0.2087E-10   0.0897   0.1371   1127.       154.5       0.9146  0.1401E-01
    3.000  0.1200E+05  0.000   62.43       1.081       1359.      41.145   35.7733   0.9233   0.1378   0.00034  0.8557E-08  0.2117E-10   0.1084   0.1272   1472.       187.3       0.9320  0.1359E-01
    3.000  0.1300E+05  0.000   74.72       1.292       1759.      44.690   42.3856   0.9285   0.1275   0.00031  0.8727E-08  0.2155E-10   0.1293   0.1183   1894.       224.2       0.9508  0.1324E-01
    3.000  0.1400E+05  0.000   88.53       1.531       2245.      48.264   49.9040   0.9320   0.1183   0.00029  0.8916E-08  0.2203E-10   0.1526   0.1103   2409.       265.6       0.9718  0.1295E-01
    3.000  0.1500E+05  0.000   104.1       1.806       2837.      51.873   58.5364   0.9342   0.1101   0.00027  0.9131E-08  0.2263E-10   0.1787   0.1028   3036.       312.3       0.9957  0.1277E-01
