
# QPROP Version 1.22
# 
# APC14X7                                                                         
# 
#  Cobra C4120/14 KV710                                                           
#   0.18000E-01  motor parameter 1 ,  R  (Ohms) 
#    1.9900      motor parameter 2 ,  Io (Amps) 
#    710.00      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
    3.000   1500.      0.000   1.021      0.3771E-01   5.924       2.199    4.7938   0.5619   0.5172   0.00273  0.8958E-08  0.4726E-10   0.0018   0.2906   10.54       3.064       0.5929  0.4528E-01
    3.000   2000.      0.000   2.195      0.6829E-01   14.30       2.944    7.0672   0.6874   0.4605   0.00205  0.1083E-07  0.4814E-10   0.0039   0.3165   20.81       6.585       0.7206  0.3717E-01
    3.000   2500.      0.000   3.760      0.1064       27.85       3.699    9.8998   0.7605   0.4050   0.00164  0.1187E-07  0.4799E-10   0.0066   0.3080   36.62       11.28       0.7928  0.3240E-01
    3.000   3000.      0.000   5.718      0.1521       47.79       4.465   13.3001   0.8048   0.3589   0.00136  0.1254E-07  0.4766E-10   0.0101   0.2889   59.38       17.15       0.8394  0.2908E-01
    3.000   3500.      0.000   8.073      0.2056       75.35       5.241   17.2750   0.8323   0.3214   0.00117  0.1301E-07  0.4732E-10   0.0142   0.2675   90.53       24.22       0.8723  0.2657E-01
    3.000   4000.      0.000   10.82      0.2669       111.8       6.027   21.8323   0.8496   0.2904   0.00102  0.1335E-07  0.4703E-10   0.0191   0.2467   131.6       32.46       0.8963  0.2496E-01
    3.000   4500.      0.000   13.97      0.3358       158.2       6.823   26.9553   0.8603   0.2648   0.00091  0.1361E-07  0.4675E-10   0.0246   0.2278   183.9       41.90       0.9150  0.2334E-01
    3.000   5000.      0.000   17.52      0.4128       216.1       7.630   32.6800   0.8667   0.2431   0.00082  0.1383E-07  0.4656E-10   0.0308   0.2107   249.4       52.55       0.9301  0.2220E-01
    3.000   5500.      0.000   21.48      0.4978       286.7       8.448   38.9991   0.8701   0.2248   0.00074  0.1401E-07  0.4640E-10   0.0377   0.1956   329.5       64.44       0.9431  0.2106E-01
    3.000   6000.      0.000   25.86      0.5911       371.4       9.278   45.9398   0.8714   0.2089   0.00068  0.1418E-07  0.4630E-10   0.0454   0.1820   426.2       77.59       0.9546  0.2009E-01
    3.000   6500.      0.000   30.67      0.6930       471.7      10.118   53.5182   0.8711   0.1951   0.00063  0.1433E-07  0.4625E-10   0.0537   0.1699   541.5       92.02       0.9651  0.1925E-01
    3.000   7000.      0.000   35.91      0.8041       589.4      10.971   61.7738   0.8697   0.1828   0.00058  0.1447E-07  0.4627E-10   0.0628   0.1590   677.7       107.7       0.9746  0.1873E-01
    3.000   7500.      0.000   41.60      0.9238       725.6      11.836   70.6769   0.8674   0.1720   0.00055  0.1460E-07  0.4631E-10   0.0727   0.1492   836.5       124.8       0.9838  0.1808E-01
    3.000   8000.      0.000   47.74       1.053       882.2      12.713   80.2810   0.8644   0.1624   0.00051  0.1472E-07  0.4639E-10   0.0832   0.1403   1021.       143.2       0.9926  0.1751E-01
    3.000   8500.      0.000   54.36       1.192       1061.      13.603   90.6137   0.8608   0.1537   0.00048  0.1485E-07  0.4652E-10   0.0946   0.1323   1233.       163.1       1.0014  0.1699E-01
    3.000   9000.      0.000   61.46       1.341       1264.      14.507  101.7071   0.8567   0.1459   0.00045  0.1498E-07  0.4669E-10   0.1067   0.1250   1475.       184.4       1.0101  0.1653E-01
