
# QPROP Version 1.22
# 
# APC14X7                                                                         
# 
#  AT4130 Long Shaft                                                              
#   0.32000E-01  motor parameter 1 ,  R  (Ohms) 
#    1.8000      motor parameter 2 ,  Io (Amps) 
#    300.00      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
    3.000   1000.      0.000  0.1801      0.1006E-01   1.053       3.401    2.1159   0.1463   0.5131   0.00409  0.3555E-08  0.2835E-10   0.0003   0.0751   7.196      0.5403       0.3526  0.6224E-01
    3.000   2000.      0.000   1.682      0.4784E-01   10.02       6.772    3.3030   0.4479   0.5035   0.00205  0.8297E-08  0.3372E-10   0.0030   0.2255   22.37       5.045       0.8216  0.3804E-01
    3.000   3000.      0.000   4.361      0.1053       33.08      10.163    5.1081   0.6372   0.3955   0.00136  0.9563E-08  0.3299E-10   0.0077   0.2520   51.92       13.08       0.9521  0.3180E-01
    3.000   4000.      0.000   8.207      0.1828       76.57      13.575    7.5427   0.7478   0.3216   0.00102  0.1012E-07  0.3221E-10   0.0145   0.2405   102.4       24.62       1.0100  0.2844E-01
    3.000   5000.      0.000   13.26      0.2808       147.1      17.007   10.6232   0.8140   0.2705   0.00082  0.1047E-07  0.3168E-10   0.0233   0.2201   180.7       39.77       1.0454  0.2584E-01
    3.000   6000.      0.000   19.54      0.4008       251.8      20.461   14.3916   0.8552   0.2328   0.00068  0.1071E-07  0.3139E-10   0.0343   0.1991   294.5       58.63       1.0710  0.2428E-01
    3.000   7000.      0.000   27.12      0.5433       398.3      23.937   18.8686   0.8818   0.2043   0.00058  0.1092E-07  0.3126E-10   0.0476   0.1801   451.7       81.36       1.0925  0.2285E-01
    3.000   8000.      0.000   36.04      0.7110       595.7      27.439   24.1372   0.8994   0.1815   0.00051  0.1111E-07  0.3133E-10   0.0630   0.1632   662.3       108.1       1.1122  0.2209E-01
    3.000   9000.      0.000   46.38      0.9043       852.2      30.967   30.2079   0.9111   0.1633   0.00045  0.1130E-07  0.3148E-10   0.0809   0.1488   935.4       139.1       1.1314  0.2122E-01
    3.000  0.1000E+05  0.000   58.25       1.127       1180.      34.524   37.1928   0.9188   0.1481   0.00041  0.1150E-07  0.3177E-10   0.1013   0.1361   1284.       174.8       1.1514  0.2055E-01
    3.000  0.1100E+05  0.000   71.78       1.382       1591.      38.113   45.2036   0.9237   0.1353   0.00037  0.1171E-07  0.3219E-10   0.1243   0.1250   1723.       215.3       1.1730  0.2003E-01
    3.000  0.1200E+05  0.000   87.12       1.676       2106.      41.742   54.4496   0.9266   0.1241   0.00034  0.1194E-07  0.3282E-10   0.1502   0.1150   2273.       261.4       1.1968  0.2001E-01
