
# QPROP Version 1.22
# 
# APC14X7                                                                         
# 
#  Cobra C4120/14 KV710                                                           
#   0.18000E-01  motor parameter 1 ,  R  (Ohms) 
#    1.9900      motor parameter 2 ,  Io (Amps) 
#    710.00      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
    3.000   1000.      0.000  0.1801      0.1006E-01   1.053       1.458    2.7377   0.2639   0.5131   0.00409  0.3555E-08  0.2835E-10   0.0003   0.1354   3.991      0.5403       0.3526  0.6224E-01
    3.000   2000.      0.000   1.682      0.4784E-01   10.02       2.917    5.5471   0.6193   0.5035   0.00205  0.8297E-08  0.3372E-10   0.0030   0.3118   16.18       5.045       0.8216  0.3804E-01
    3.000   3000.      0.000   4.361      0.1053       33.08       4.402    9.8193   0.7653   0.3955   0.00136  0.9563E-08  0.3299E-10   0.0077   0.3027   43.23       13.08       0.9521  0.3180E-01
    3.000   4000.      0.000   8.207      0.1828       76.57       5.914   15.5810   0.8309   0.3216   0.00102  0.1012E-07  0.3221E-10   0.0145   0.2672   92.15       24.62       1.0100  0.2844E-01
    3.000   5000.      0.000   13.26      0.2808       147.1       7.454   22.8715   0.8626   0.2705   0.00082  0.1047E-07  0.3168E-10   0.0233   0.2333   170.5       39.77       1.0454  0.2584E-01
    3.000   6000.      0.000   19.54      0.4008       251.8       9.023   31.7902   0.8780   0.2328   0.00068  0.1071E-07  0.3139E-10   0.0343   0.2044   286.8       58.63       1.0710  0.2428E-01
    3.000   7000.      0.000   27.12      0.5433       398.3      10.622   42.3857   0.8846   0.2043   0.00058  0.1092E-07  0.3126E-10   0.0476   0.1807   450.2       81.36       1.0925  0.2285E-01
    3.000   8000.      0.000   36.04      0.7110       595.7      12.255   54.8547   0.8861   0.1815   0.00051  0.1111E-07  0.3133E-10   0.0630   0.1608   672.2       108.1       1.1122  0.2209E-01
    3.000   9000.      0.000   46.38      0.9043       852.2      13.922   69.2220   0.8843   0.1633   0.00045  0.1130E-07  0.3148E-10   0.0809   0.1444   963.7       139.1       1.1314  0.2122E-01
    3.000  0.1000E+05  0.000   58.25       1.127       1180.      15.628   85.7529   0.8803   0.1481   0.00041  0.1150E-07  0.3177E-10   0.1013   0.1304   1340.       174.8       1.1514  0.2055E-01
    3.000  0.1100E+05  0.000   71.78       1.382       1591.      17.378  104.7118   0.8746   0.1353   0.00037  0.1171E-07  0.3219E-10   0.1243   0.1183   1820.       215.3       1.1730  0.2003E-01
    3.000  0.1200E+05  0.000   87.12       1.676       2106.      19.180  126.5942   0.8673   0.1241   0.00034  0.1194E-07  0.3282E-10   0.1502   0.1076   2428.       261.4       1.1968  0.2001E-01
    3.000  0.1300E+05  0.000   104.5       2.012       2739.      21.038  151.5824   0.8589   0.1145   0.00031  0.1220E-07  0.3357E-10   0.1794   0.0983   3189.       313.5       1.2237  0.1979E-01
    3.000  0.1400E+05  0.000   124.2       2.402       3521.      22.969  180.5682   0.8490   0.1058   0.00029  0.1251E-07  0.3455E-10   0.2121   0.0898   4147.       372.6       1.2547  0.1980E-01
    3.000  0.1500E+05  0.000   146.0       2.851       4478.      24.978  213.9623   0.8379   0.0978   0.00027  0.1280E-07  0.3573E-10   0.2478   0.0819   5344.       437.9       1.2851  0.2041E-01
