
# QPROP Version 1.22
# 
# 15x55data.txt                                                                   
# 
#  AT4130 Long Shaft                                                              
#   0.16800E-01  motor parameter 1 ,  R  (Ohms) 
#    2.5000      motor parameter 2 ,  Io (Amps) 
#    450.00      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
    2.000   1000.      0.000  0.1600      0.7143E-02  0.7480       2.270    2.8366   0.1162   0.4278   0.00273  0.3158E-08  0.2014E-10   0.0004   0.0497   6.439      0.3200       0.3434  0.6079E-01
    2.000   2000.      0.000   1.187      0.2905E-01   6.084       4.509    3.8690   0.3487   0.3901   0.00136  0.5857E-08  0.2048E-10   0.0031   0.1361   17.45       2.374       0.6332  0.3613E-01
    2.000   3000.      0.000   3.018      0.6276E-01   19.72       6.758    5.4575   0.5346   0.3061   0.00091  0.6618E-08  0.1966E-10   0.0080   0.1636   36.88       6.035       0.7173  0.2756E-01
    2.000   4000.      0.000   5.660      0.1085       45.43       9.017    7.6110   0.6620   0.2492   0.00068  0.6982E-08  0.1911E-10   0.0150   0.1649   68.63       11.32       0.7577  0.2297E-01
    2.000   5000.      0.000   9.128      0.1663       87.07      11.285   10.3364   0.7465   0.2097   0.00055  0.7207E-08  0.1876E-10   0.0241   0.1565   116.6       18.26       0.7826  0.1986E-01
    2.000   6000.      0.000   13.45      0.2367       148.7      13.563   13.6553   0.8031   0.1808   0.00045  0.7372E-08  0.1854E-10   0.0353   0.1452   185.2       26.89       0.8009  0.1764E-01
    2.000   7000.      0.000   18.64      0.3203       234.8      15.851   17.5921   0.8419   0.1588   0.00039  0.7508E-08  0.1843E-10   0.0488   0.1337   278.9       37.28       0.8160  0.1597E-01
    2.000   8000.      0.000   24.74      0.4177       350.0      18.150   22.1853   0.8691   0.1414   0.00034  0.7630E-08  0.1840E-10   0.0646   0.1229   402.7       49.48       0.8294  0.1480E-01
    2.000   9000.      0.000   31.79      0.5297       499.3      20.461   27.4629   0.8885   0.1274   0.00030  0.7747E-08  0.1844E-10   0.0826   0.1131   561.9       63.58       0.8423  0.1374E-01
    2.000  0.1000E+05  0.000   39.85      0.6576       688.6      22.785   33.4873   0.9025   0.1157   0.00027  0.7865E-08  0.1854E-10   0.1030   0.1044   763.0       79.70       0.8554  0.1286E-01
