
 ------------------------------------------------------------
                   CR SYSTEM DEFAULT INPUT
 CR System                Fwd Rotor           Aft Rotor
 ------------------------------------------------------------
 Rotor name               Front               Aft                 
 Filename                 Forward_alone.txt   none                
 Power(W)                    600.0               600.0
 Rpm (ratio 1.000)          1500.0              1500.0
 Axial Vel. Wt.              0.500               0.500
 Tang. Vel. Wt.              0.000              -1.000
 ------------------------------------------------------------
 Slipstream converged         Alt(km): 0.00    V(m/s):  10.00
 AFT rotor

 ===========================================================================
 Free Tip Potential Formulation Solution:  Aft                             
 (External slipstream present)                   Wake adv. ratio:    0.30217
 no. blades :  4            radius(m)  :   0.3400     adv. ratio:     0.18724
 thrust(N)  :   45.8        power(W)   :   777.       torque(N-m):   4.95    
 Efficiency :  0.5902       speed(m/s) :   10.000     rpm        :   1500.000
 Eff induced:  0.6196       Eff ideal  :   0.7275     Tcoef      :     2.0594
 Tnacel(N)  :    -0.7719    hub rad.(m):   0.0500     disp. rad. :    0.0100
 Tvisc(N)   :    -0.4125    Pvisc(W)   :   30.2    
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
 Sigma:    0.27219
                Ct:    0.27984     Cp:    0.27889    J:    0.58824
                Tc:    2.05944     Pc:    3.48915  adv:    0.18724

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U
  1 0.151 0.2490  63.74  1.164   0.0203  90.58  0.046  0.756 0.964   0.000
  2 0.168 0.2543  63.40  1.141   0.0197  95.36  0.047  1.116 0.965   0.000
  3 0.197 0.2689  61.33  1.085   0.0183 109.16  0.051  0.942 0.966   0.000
  4 0.233 0.2818  57.95  1.035   0.0170 126.31  0.056  0.831 0.967   0.000
  5 0.274 0.2858  54.09  0.998   0.0160 142.00  0.062  0.769 0.968   0.000
  6 0.317 0.2812  50.26  0.971   0.0154 154.08  0.069  0.733 0.969   0.000
  7 0.361 0.2712  46.71  0.948   0.0150 162.64  0.075  0.711 0.968   0.000
  8 0.406 0.2589  43.54  0.928   0.0147 168.63  0.082  0.696 0.967   0.000
  9 0.450 0.2467  40.74  0.908   0.0145 173.15  0.088  0.685 0.966   0.000
 10 0.494 0.2358  38.30  0.887   0.0143 177.16  0.094  0.677 0.964   0.000
 11 0.537 0.2269  36.18  0.865   0.0141 181.37  0.100  0.669 0.962   0.000
 12 0.579 0.2203  34.33  0.842   0.0139 186.25  0.106  0.663 0.960   0.000
 13 0.620 0.2160  32.73  0.818   0.0136 192.05  0.112  0.656 0.958   0.000
 14 0.659 0.2136  31.32  0.794   0.0134 198.83  0.117  0.650 0.956   0.000
 15 0.696 0.2128  30.10  0.770   0.0131 206.47  0.122  0.643 0.955   0.000
 16 0.732 0.2132  29.02  0.747   0.0129 214.68  0.126  0.637 0.953   0.000
 17 0.766 0.2144  28.08  0.723   0.0126 223.07  0.131  0.630 0.951   0.000
 18 0.798 0.2158  27.26  0.700   0.0124 231.11  0.134  0.623 0.949   0.000
 19 0.828 0.2171  26.54  0.678   0.0122 238.20  0.138  0.617 0.947   0.000
 20 0.856 0.2178  25.91  0.657   0.0121 243.63  0.140  0.610 0.945   0.000
 21 0.881 0.2185  25.36  0.638   0.0120 246.15  0.142  0.605 0.943   0.000
 22 0.905 0.2087  24.88  0.626   0.0122 239.46  0.144  0.601 0.941   0.000
 23 0.925 0.1915  24.48  0.619   0.0125 224.64  0.147  0.598 0.938   0.000
 24 0.944 0.1709  24.13  0.615   0.0129 204.28  0.150  0.597 0.934   0.000
 25 0.959 0.1480  23.84  0.612   0.0136 179.80  0.153  0.596 0.930   0.000
 26 0.973 0.1236  23.61  0.610   0.0146 152.21  0.155  0.595 0.925   0.000
 27 0.983 0.0983  23.42  0.608   0.0159 122.37  0.156  0.594 0.918   0.000
 28 0.991 0.0728  23.28  0.607   0.0179  91.27  0.158  0.594 0.907   0.000
 29 0.997 0.0481  23.19  0.605   0.0210  60.66  0.158  0.593 0.892   0.000
 30 0.999 0.0290  23.15  0.600   0.0257  36.69  0.159  0.592 0.870   0.000
