
 ------------------------------------------------------------
                   CR SYSTEM DEFAULT INPUT
 CR System                Fwd Rotor           Aft Rotor
 ------------------------------------------------------------
 Rotor name               Front               Aft                 
 Filename                 Forward_alone.txt   none                
 Power(W)                    600.0               600.0
 Rpm (ratio 1.000)          1500.0              1500.0
 Axial Vel. Wt.              0.500               0.500
 Tang. Vel. Wt.              0.000              -1.000
 ------------------------------------------------------------
 Slipstream converged         Alt(km): 0.00    V(m/s):  10.00
 FWD rotor

 ===========================================================================
 Free Tip Potential Formulation Solution:  Front                           
 (External slipstream present)                   Wake adv. ratio:    0.30217
 no. blades :  4            radius(m)  :   0.3000     adv. ratio:     0.18724
 thrust(N)  :   35.7        power(W)   :   605.       torque(N-m):   3.40    
 Efficiency :  0.5902       speed(m/s) :   10.000     rpm        :   1700.000
 Eff induced:  0.6196       Eff ideal  :   0.7275     Tcoef      :     2.0594
 Tnacel(N)  :    -0.6010    hub rad.(m):   0.0500     disp. rad. :    0.0100
 Tvisc(N)   :    -0.3211    Pvisc(W)   :   23.5    
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
 Sigma:    0.55124
                Ct:    0.27984     Cp:    0.27889    J:    0.58824
                Tc:    2.05944     Pc:    3.48915  adv:    0.18724

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U
  1 0.171 0.4619  60.70  1.164   0.0203  90.58  0.038 -0.344 0.964   0.000
  2 0.185 0.4677  61.09  1.141   0.0197  95.36  0.046  0.531 0.965   0.000
  3 0.212 0.4934  60.02  1.085   0.0183 109.16  0.049  0.553 0.966   0.000
  4 0.246 0.5311  57.61  1.035   0.0170 126.31  0.054  0.538 0.967   0.000
  5 0.285 0.5663  54.53  0.998   0.0160 142.00  0.059  0.532 0.968   0.000
  6 0.326 0.5910  51.28  0.971   0.0154 154.08  0.064  0.535 0.969   0.000
  7 0.369 0.6033  48.11  0.948   0.0150 162.64  0.070  0.541 0.968   0.000
  8 0.412 0.6046  45.18  0.928   0.0147 168.63  0.076  0.549 0.967   0.000
  9 0.456 0.5974  42.52  0.908   0.0145 173.15  0.082  0.557 0.966   0.000
 10 0.499 0.5840  40.16  0.887   0.0143 177.16  0.088  0.564 0.964   0.000
 11 0.541 0.5661  38.06  0.865   0.0141 181.37  0.094  0.570 0.962   0.000
 12 0.583 0.5453  36.21  0.842   0.0139 186.25  0.100  0.573 0.960   0.000
 13 0.623 0.5223  34.59  0.818   0.0136 192.05  0.105  0.575 0.958   0.000
 14 0.662 0.4977  33.16  0.794   0.0134 198.83  0.111  0.574 0.956   0.000
 15 0.699 0.4721  31.90  0.770   0.0131 206.47  0.117  0.570 0.955   0.000
 16 0.734 0.4455  30.79  0.747   0.0129 214.68  0.122  0.565 0.953   0.000
 17 0.768 0.4182  29.82  0.723   0.0126 223.07  0.127  0.557 0.951   0.000
 18 0.800 0.3902  28.96  0.700   0.0124 231.11  0.132  0.548 0.949   0.000
 19 0.829 0.3615  28.20  0.678   0.0122 238.20  0.136  0.536 0.947   0.000
 20 0.857 0.3323  27.54  0.657   0.0121 243.63  0.141  0.522 0.945   0.000
 21 0.882 0.3025  26.97  0.638   0.0120 246.15  0.145  0.500 0.943   0.000
 22 0.905 0.2723  26.47  0.626   0.0122 239.46  0.148  0.491 0.941   0.000
 23 0.926 0.2416  26.04  0.619   0.0125 224.64  0.151  0.489 0.938   0.000
 24 0.944 0.2107  25.67  0.615   0.0129 204.28  0.154  0.488 0.934   0.000
 25 0.960 0.1794  25.37  0.612   0.0136 179.80  0.156  0.488 0.930   0.000
 26 0.973 0.1481  25.12  0.610   0.0146 152.21  0.158  0.488 0.925   0.000
 27 0.983 0.1168  24.92  0.608   0.0159 122.37  0.160  0.488 0.918   0.000
 28 0.991 0.0860  24.78  0.607   0.0179  91.27  0.161  0.488 0.907   0.000
 29 0.997 0.0568  24.68  0.605   0.0210  60.66  0.162  0.488 0.892   0.000
 30 0.999 0.0347  24.63  0.600   0.0257  36.69  0.162  0.487 0.870   0.000
