
 ===========================================================================
 Free Tip Potential Formulation Solution:  Designed blade                  
                                                  Wake adv. ratio:    0.08024
 no. blades :  2            radius(m)  :   1.5000     adv. ratio:     0.07958
 thrust(N)  :   12.3        power(W)   :   200.       torque(N-m):   2.39    
 Efficiency :  0.6145       speed(m/s) :   10.000     rpm        :    800.000
 Eff induced:  0.9918       Eff ideal  :   0.9930     Tcoef      :     0.0284
 Tnacel(N)  :    -0.0003    hub rad.(m):   0.1000     disp. rad. :    0.0500
 Tvisc(N)   :    -0.1374    Pvisc(W)   :   74.7    
 rho(kg/m3) :   1.22600     Vsound(m/s):  340.000     mu(kg/m-s) : 0.1780E-04
 ---------------------------------------------------------------------------
Helicopter:  Sigma:    0.00107  CTh/s:    0.08372  FOM:    0.05175
                Ct:    0.00070     Cp:    0.00028    J:    0.25000
                Tc:    0.02836     Pc:    0.04616  adv:    0.07958

  i  r/R   c/R  beta(deg)  CL     Cd    REx10^3 Mach   effi  effp  na.u/U
  1 0.076 0.0071  51.18  0.500   0.0429  10.12  0.041  1.575 0.841   0.000
  2 0.104 0.0067  42.13  0.500   0.0409  11.38  0.048  1.206 0.847   0.000
  3 0.147 0.0060  33.22  0.500   0.0387  13.08  0.062  1.082 0.839   0.000
  4 0.194 0.0053  27.04  0.500   0.0373  14.37  0.077  1.040 0.821   0.000
  5 0.242 0.0046  22.86  0.500   0.0364  15.23  0.094  1.022 0.800   0.000
  6 0.291 0.0040  19.94  0.500   0.0359  15.80  0.112  1.012 0.778   0.000
  7 0.340 0.0036  17.82  0.500   0.0355  16.17  0.129  1.007 0.756   0.000
  8 0.388 0.0032  16.21  0.500   0.0353  16.43  0.146  1.003 0.735   0.000
  9 0.435 0.0029  14.96  0.500   0.0352  16.60  0.163  1.001 0.715   0.000
 10 0.481 0.0026  13.97  0.500   0.0351  16.71  0.180  0.999 0.696   0.000
 11 0.525 0.0024  13.16  0.500   0.0350  16.79  0.196  0.998 0.678   0.000
 12 0.569 0.0023  12.49  0.500   0.0350  16.83  0.212  0.997 0.662   0.000
 13 0.611 0.0021  11.93  0.500   0.0350  16.84  0.228  0.996 0.646   0.000
 14 0.651 0.0020  11.45  0.500   0.0350  16.81  0.242  0.996 0.632   0.000
 15 0.690 0.0019  11.04  0.500   0.0351  16.74  0.257  0.995 0.619   0.000
 16 0.727 0.0018  10.69  0.500   0.0352  16.62  0.270  0.995 0.606   0.000
 17 0.761 0.0017  10.39  0.500   0.0353  16.43  0.283  0.995 0.594   0.000
 18 0.794 0.0016  10.13  0.500   0.0356  16.14  0.295  0.994 0.583   0.000
 19 0.825 0.0015   9.90  0.500   0.0359  15.74  0.306  0.994 0.571   0.000
 20 0.853 0.0014   9.70  0.500   0.0364  15.20  0.317  0.994 0.560   0.000
 21 0.879 0.0013   9.53  0.500   0.0371  14.51  0.326  0.994 0.548   0.000
 22 0.903 0.0012   9.38  0.500   0.0381  13.64  0.335  0.994 0.535   0.000
 23 0.924 0.0010   9.25  0.500   0.0393  12.60  0.343  0.994 0.521   0.000
 24 0.943 0.0009   9.14  0.500   0.0409  11.37  0.350  0.994 0.506   0.000
 25 0.959 0.0008   9.05  0.500   0.0431   9.98  0.356  0.994 0.489   0.000
 26 0.972 0.0007   8.97  0.500   0.0461   8.44  0.361  0.994 0.469   0.000
 27 0.983 0.0005   8.91  0.500   0.0504   6.77  0.365  0.993 0.444   0.000
 28 0.991 0.0004   8.87  0.500   0.0567   5.03  0.368  0.993 0.413   0.000
 29 0.997 0.0003   8.84  0.500   0.0672   3.29  0.370  0.993 0.371   0.000
 30 0.999 0.0001   8.83  0.500   0.0846   1.85  0.371  0.993 0.317   0.000
